# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-06-03 22:29:01 34376898 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000053029 39.051248378  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000149134653    60.000000   -39.051248    39.051248 
    0.001000  0.000053029  0.000052999 39.071526767 35.262299918 200.000000000  0.035262300   0     0.427064  0.000000148977382    60.166858   -39.071527    39.071527 
    0.002000  0.000106028  0.000052970 39.091823264  2.319339642 200.000000000  0.037581640   0     0.043544  0.000000148820522    60.334154   -39.091823    39.091823 
    0.003000  0.000158998  0.000052941 39.112137853  2.450300323 200.000000000  0.040031940   0     0.045430  0.000000148664073    60.501887   -39.112138    39.112138 
    0.004000  0.000211939  0.000052911 39.132470518  2.587117258 200.000000000  0.042619057   0     0.047389  0.000000148508033    60.670059   -39.132471    39.132471 
    0.005000  0.000264850  0.000052882 39.152821242  2.729953698 200.000000000  0.045349011   0     0.049421  0.000000148352402    60.838672   -39.152821    39.152821 
    0.006000  0.000317732  0.000052853 39.173190009  2.878971679 200.000000000  0.048227983   0     0.051530  0.000000148197179    61.007726   -39.173190    39.173190 
    0.007000  0.000370586  0.000052824 39.193576801  3.034331668 200.000000000  0.051262314   0     0.053715  0.000000148042362    61.177223   -39.193577    39.193577 
    0.008000  0.000423410  0.000052795 39.213981603  3.196192156 200.000000000  0.054458506   0     0.055980  0.000000147887950    61.347164   -39.213982    39.213982 
    0.009000  0.000476205  0.000052766 39.234404396  3.364709298 200.000000000  0.057823216   0     0.058327  0.000000147733943    61.517551   -39.234404    39.234404 
    0.010000  0.000528972  0.000052738 39.254845164  3.540036467 200.000000000  0.061363252   0     0.060757  0.000000147580340    61.688384   -39.254845    39.254845 
    0.011000  0.000581709  0.000052709 39.275303888  3.722323899 200.000000000  0.065085576   0     0.063271  0.000000147427138    61.859665   -39.275304    39.275304 
    0.012000  0.000634418  0.000052680 39.295780552  3.911718250 200.000000000  0.068997294   0     0.065873  0.000000147274339    62.031395   -39.295781    39.295781 
    0.013000  0.000687098  0.000052651 39.316275137  4.108362191 200.000000000  0.073105656   0     0.068563  0.000000147121939    62.203575   -39.316275    39.316275 
    0.014000  0.000739750  0.000052623 39.336787625  4.312393975 200.000000000  0.077418050   0     0.071343  0.000000146969939    62.376207   -39.336788    39.336788 
    0.015000  0.000792373  0.000052594 39.357317998  4.523947051 200.000000000  0.081941997   0     0.074216  0.000000146818337    62.549292   -39.357318    39.357318 
    0.016000  0.000844967  0.000052566 39.377866238  4.743149594 200.000000000  0.086685147   0     0.077181  0.000000146667133    62.722831   -39.377866    39.377866 
    0.017000  0.000897533  0.000052537 39.398432325  4.970124143 200.000000000  0.091655271   0     0.080242  0.000000146516325    62.896825   -39.398432    39.398432 
    0.018000  0.000950070  0.000052509 39.419016242  5.204987140 200.000000000  0.096860258   0     0.083399  0.000000146365912    63.071276   -39.419016    39.419016 
    0.019000  0.001002579  0.000052481 39.439617968  5.447848515 200.000000000  0.102308107   0     0.086654  0.000000146215893    63.246186   -39.439618    39.439618 
    0.020000  0.001055060  0.000052453 39.460237484  5.698811332 200.000000000  0.108006918   0     0.090008  0.000000146066268    63.421555   -39.460237    39.460237 
    0.021000  0.001107513  0.000052424 39.480874772  5.957971331 200.000000000  0.113964890   0     0.093462  0.000000145917035    63.597384   -39.480875    39.480875 
    0.022000  0.001159937  0.000052396 39.501529811  6.225416537 200.000000000  0.120190306   0     0.097018  0.000000145768193    63.773676   -39.501530    39.501530 
    0.023000  0.001212333  0.000052368 39.522202581  6.501226944 200.000000000  0.126691533   0     0.100676  0.000000145619742    63.950431   -39.522203    39.522203 
    0.024000  0.001264702  0.000052340 39.542893063  6.785474047 200.000000000  0.133477007   0     0.104437  0.000000145471679    64.127651   -39.542893    39.542893 
    0.025000  0.001317042  0.000052312 39.563601236  7.078220581 200.000000000  0.140555228   0     0.108303  0.000000145324005    64.305337   -39.563601    39.563601 
    0.026000  0.001369354  0.000052284 39.584327079  7.379520085 200.000000000  0.147934748   0     0.112274  0.000000145176719    64.483490   -39.584327    39.584327 
    0.027000  0.001421638  0.000052257 39.605070572  7.689416621 200.000000000  0.155624164   0     0.116350  0.000000145029818    64.662112   -39.605071    39.605071 
    0.028000  0.001473895  0.000052229 39.625831694  8.007944509 200.000000000  0.163632109   0     0.120532  0.000000144883303    64.841204   -39.625832    39.625832 
    0.029000  0.001526124  0.000052201 39.646610423  8.335127898 200.000000000  0.171967237   0     0.124820  0.000000144737172    65.020768   -39.646610    39.646610 
    0.030000  0.001578325  0.000052173 39.667406738  8.670980645 200.000000000  0.180638217   0     0.129216  0.000000144591425    65.200805   -39.667407    39.667407 
    0.031000  0.001630498  0.000052146 39.688220618  9.015505958 200.000000000  0.189653723   0     0.133717  0.000000144446060    65.381316   -39.688221    39.688221 
    0.032000  0.001682644  0.000052118 39.709052041  9.368696151 200.000000000  0.199022419   0     0.138326  0.000000144301076    65.562303   -39.709052    39.709052 
    0.033000  0.001734762  0.000052091 39.729900983  9.730532590 200.000000000  0.208752952   0     0.143041  0.000000144156473    65.743767   -39.729901    39.729901 
    0.034000  0.001786853  0.000052063 39.750767424 10.100985171 200.000000000  0.218853937   0     0.147863  0.000000144012249    65.925709   -39.750767    39.750767 
    0.035000  0.001838916  0.000052036 39.771651341 10.480012653 200.000000000  0.229333950   0     0.152790  0.000000143868403    66.108131   -39.771651    39.771651 
    0.036000  0.001890952  0.000052009 39.792552710 10.867562109 200.000000000  0.240201512   0     0.157823  0.000000143724935    66.291035   -39.792553    39.792553 
    0.037000  0.001942961  0.000051981 39.813471508 11.263568882 200.000000000  0.251465081   0     0.162961  0.000000143581843    66.474421   -39.813472    39.813472 
    0.038000  0.001994942  0.000051954 39.834407713 11.667956543 200.000000000  0.263133037   0     0.168202  0.000000143439127    66.658292   -39.834408    39.834408 
    0.039000  0.002046896  0.000051927 39.855361300 12.080637060 200.000000000  0.275213675   0     0.173546  0.000000143296786    66.842648   -39.855361    39.855361 
    0.040000  0.002098823  0.000051900 39.876332246 12.501510318 200.000000000  0.287715185   0     0.178992  0.000000143154818    67.027492   -39.876332    39.876332 
    0.041000  0.002150723  0.000051873 39.897320527 12.930464651 200.000000000  0.300645649   0     0.184539  0.000000143013222    67.212823   -39.897321    39.897321 
    0.042000  0.002202596  0.000051846 39.918326118 13.367376102 200.000000000  0.314013026   0     0.190184  0.000000142871999    67.398645   -39.918326    39.918326 
    0.043000  0.002254442  0.000051819 39.939348995 13.812109363 200.000000000  0.327825135   0     0.195927  0.000000142731146    67.584959   -39.939349    39.939349 
