# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-03 22:29:01 34370818 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000053029  0.640184400 -0.768221280  0.000000000000000000 -39.051248378   0.000000000  39.051248378  0.000000149134653    60.000000  0.000000000000000 
     1     0.001000  0.000053029  0.000052999  0.640662551 -0.767822568  0.000000000000909495 -39.071526767  35.262299918  39.071526767  0.000000148977382    60.166858 35.262299917521460 
     2     0.002000  0.000106028  0.000052970  0.641140029 -0.767423914  0.000000000000909495 -39.091823264   2.319339642  39.091823264  0.000000148820522    60.334154  2.319339641569031 
     3     0.003000  0.000158998  0.000052941  0.641616833 -0.767025319 -0.000000000000909495 -39.112137853   2.450300323  39.112137853  0.000000148664073    60.501887  2.450300322675340 
     4     0.004000  0.000211939  0.000052911  0.642092964 -0.766626783  0.000000000000909495 -39.132470518   2.587117258  39.132470518  0.000000148508033    60.670059  2.587117258315105 
     5     0.005000  0.000264850  0.000052882  0.642568424 -0.766228309  0.000000000000000000 -39.152821242   2.729953698  39.152821242  0.000000148352402    60.838672  2.729953697516135 
     6     0.006000  0.000317732  0.000052853  0.643043211 -0.765829895  0.000000000000909495 -39.173190009   2.878971679  39.173190009  0.000000148197179    61.007726  2.878971679170089 
     7     0.007000  0.000370586  0.000052824  0.643517328 -0.765431544  0.000000000000000000 -39.193576801   3.034331668  39.193576801  0.000000148042362    61.177223  3.034331667533551 
     8     0.008000  0.000423410  0.000052795  0.643990775 -0.765033255  0.000000000000000000 -39.213981603   3.196192156  39.213981603  0.000000147887950    61.347164  3.196192155888830 
     9     0.009000  0.000476205  0.000052766  0.644463552 -0.764635030  0.000000000000000000 -39.234404396   3.364709298  39.234404396  0.000000147733943    61.517551  3.364709298102980 
    10     0.010000  0.000528972  0.000052738  0.644935661 -0.764236870 -0.000000000000909495 -39.254845164   3.540036467  39.254845164  0.000000147580340    61.688384  3.540036466625027 
    11     0.011000  0.000581709  0.000052709  0.645407101 -0.763838775  0.000000000000000000 -39.275303888   3.722323899  39.275303888  0.000000147427138    61.859665  3.722323898547770 
    12     0.012000  0.000634418  0.000052680  0.645877874 -0.763440746  0.000000000000000000 -39.295780552   3.911718250  39.295780552  0.000000147274339    62.031395  3.911718249739613 
    13     0.013000  0.000687098  0.000052651  0.646347980 -0.763042783  0.000000000000000000 -39.316275137   4.108362191  39.316275137  0.000000147121939    62.203575  4.108362191053275 
    14     0.014000  0.000739750  0.000052623  0.646817420 -0.762644888 -0.000000000000909495 -39.336787625   4.312393975  39.336787625  0.000000146969939    62.376207  4.312393975272652 
    15     0.015000  0.000792373  0.000052594  0.647286194 -0.762247062 -0.000000000000909495 -39.357317998   4.523947051  39.357317998  0.000000146818337    62.549292  4.523947050712615 
    16     0.016000  0.000844967  0.000052566  0.647754303 -0.761849304  0.000000000000000000 -39.377866238   4.743149594  39.377866238  0.000000146667133    62.722831  4.743149594024859 
    17     0.017000  0.000897533  0.000052537  0.648221748 -0.761451617 -0.000000000000909495 -39.398432325   4.970124143  39.398432325  0.000000146516325    62.896825  4.970124142668272 
    18     0.018000  0.000950070  0.000052509  0.648688530 -0.761054000  0.000000000000909495 -39.419016242   5.204987140  39.419016242  0.000000146365912    63.071276  5.204987139575845 
    19     0.019000  0.001002579  0.000052481  0.649154648 -0.760656455  0.000000000000000000 -39.439617968   5.447848515  39.439617968  0.000000146215893    63.246186  5.447848514962203 
    20     0.020000  0.001055060  0.000052453  0.649620104 -0.760258983  0.000000000000909495 -39.460237484   5.698811332  39.460237484  0.000000146066268    63.421555  5.698811331654396 
    21     0.021000  0.001107513  0.000052424  0.650084898 -0.759861583  0.000000000000909495 -39.480874772   5.957971331  39.480874772  0.000000145917035    63.597384  5.957971331457104 
    22     0.022000  0.001159937  0.000052396  0.650549031 -0.759464257 -0.000000000000909495 -39.501529811   6.225416537  39.501529811  0.000000145768193    63.773676  6.225416536607006 
    23     0.023000  0.001212333  0.000052368  0.651012504 -0.759067006  0.000000000000909495 -39.522202581   6.501226944  39.522202581  0.000000145619742    63.950431  6.501226944181177 
    24     0.024000  0.001264702  0.000052340  0.651475316 -0.758669831  0.000000000000000000 -39.542893063   6.785474047  39.542893063  0.000000145471679    64.127651  6.785474047411976 
    25     0.025000  0.001317042  0.000052312  0.651937469 -0.758272732  0.000000000000909495 -39.563601236   7.078220581  39.563601236  0.000000145324005    64.305337  7.078220581122591 
    26     0.026000  0.001369354  0.000052284  0.652398964 -0.757875710  0.000000000000000000 -39.584327079   7.379520085  39.584327079  0.000000145176719    64.483490  7.379520084812796 
    27     0.027000  0.001421638  0.000052257  0.652859800 -0.757478766  0.000000000000000000 -39.605070572   7.689416621  39.605070572  0.000000145029818    64.662112  7.689416620729167 
    28     0.028000  0.001473895  0.000052229  0.653319979 -0.757081901  0.000000000000000000 -39.625831694   8.007944509  39.625831694  0.000000144883303    64.841204  8.007944509079795 
    29     0.029000  0.001526124  0.000052201  0.653779501 -0.756685116  0.000000000000000000 -39.646610423   8.335127898  39.646610423  0.000000144737172    65.020768  8.335127897894285 
    30     0.030000  0.001578325  0.000052173  0.654238366 -0.756288411  0.000000000000000000 -39.667406738   8.670980645  39.667406738  0.000000144591425    65.200805  8.670980644789633 
    31     0.031000  0.001630498  0.000052146  0.654696576 -0.755891787  0.000000000000000000 -39.688220618   9.015505958  39.688220618  0.000000144446060    65.381316  9.015505957997272 
    32     0.032000  0.001682644  0.000052118  0.655154131 -0.755495245  0.000000000000000000 -39.709052041   9.368696151  39.709052041  0.000000144301076    65.562303  9.368696150572536 
    33     0.033000  0.001734762  0.000052091  0.655611031 -0.755098786 -0.000000000000909495 -39.729900983   9.730532590  39.729900983  0.000000144156473    65.743767  9.730532589518226 
    34     0.034000  0.001786853  0.000052063  0.656067277 -0.754702411  0.000000000000000000 -39.750767424  10.100985171  39.750767424  0.000000144012249    65.925709 10.100985170879540 
    35     0.035000  0.001838916  0.000052036  0.656522869 -0.754306120  0.000000000000000000 -39.771651341  10.480012653  39.771651341  0.000000143868403    66.108131 10.480012652750808 
    36     0.036000  0.001890952  0.000052009  0.656977809 -0.753909914  0.000000000000000000 -39.792552710  10.867562109  39.792552710  0.000000143724935    66.291035 10.867562109323019 
    37     0.037000  0.001942961  0.000051981  0.657432096 -0.753513795  0.000000000000000000 -39.813471508  11.263568882  39.813471508  0.000000143581843    66.474421 11.263568881936747 
    38     0.038000  0.001994942  0.000051954  0.657885732 -0.753117762  0.000000000000909495 -39.834407713  11.667956543  39.834407713  0.000000143439127    66.658292 11.667956542698644 
    39     0.039000  0.002046896  0.000051927  0.658338716 -0.752721818  0.000000000000000000 -39.855361300  12.080637060  39.855361300  0.000000143296786    66.842648 12.080637060441489 
    40     0.040000  0.002098823  0.000051900  0.658791050 -0.752325962  0.000000000000000000 -39.876332246  12.501510318  39.876332246  0.000000143154818    67.027492 12.501510317536878 
    41     0.041000  0.002150723  0.000051873  0.659242734 -0.751930195  0.000000000000000000 -39.897320527  12.930464651  39.897320527  0.000000143013222    67.212823 12.930464651159767 
